back_legroom,body_type,city,front_legroom,has_accidents,height,horsepower,is_new,latitude,length,longitude,make_name,maximum_seating,mileage,model_name,owner_count,price,width,year
37.6,SUV / Crossover,Williamsville,40.4,NA,61.3,189,1,42.9659,169.8,-78.687,MINI,5,4,Countryman,NA,40060,78.9,2020
NA,Van,Fairfax,41.5,NA,72,169,1,38.8556,190,-77.3311,Ford,2,NA,Transit Connect,NA,24047,84.1,2020
37.4,SUV / Crossover,Montclair,41.7,TRUE,60.8,139,0,34.0653,171.5,-117.689,Kia,5,25505,Niro,1,16499,71.1,2017
36.1,Sedan,Colmar,42,FALSE,57.4,153,0,40.271,183.7,-75.2597,Chevrolet,5,35721,Cruze,1,15395,70.5,2017
37.2,SUV / Crossover,Nicholasville,42.6,TRUE,67.1,176,0,37.9354,179.9,-84.5486,Toyota,5,43401,RAV4,2,19480,72.6,2015
38.1,SUV / Crossover,Bayside,41.1,NA,65.3,221,1,40.7587,182.4,-73.7754,Mercedes-Benz,7,18,GLB-Class,NA,48300,79.5,2020
36,Hatchback,Toms River,42.3,NA,56.5,174,1,39.9591,177.9,-74.1736,Honda,5,1,Civic Hatchback,NA,22705,70.8,2020
40.2,Pickup Truck,Glenwood Springs,40.9,NA,78.4,370,1,39.5254,260.8,-107.324,RAM,6,2,3500,NA,59990,83.5,2020
35.2,Pickup Truck,Stillwater,44.5,NA,75.6,355,1,45.0326,231.7,-92.8501,Chevrolet,6,0,Silverado 1500,NA,41265,81.2,2020
39.1,Sedan,Latham,42.4,NA,58,174,1,42.7522,193.6,-73.7671,Volkswagen,5,3,Passat,NA,26424,72.2,2020
NA,Van,Manassas,NA,FALSE,NA,225,0,38.7565,NA,-77.4652,Ford,NA,89710,E-Series,1,6997,NA,2006
36,SUV / Crossover,Mansfield,40.9,NA,64.1,150,1,42.0332,171.4,-71.2165,Buick,5,5,Encore GX,NA,26547,71.4,2020
40.4,SUV / Crossover,Canton,41.6,NA,67.8,276,1,40.8135,195.5,-81.3784,Volkswagen,5,10,Atlas Cross Sport,NA,37980,78.4,2020
36.5,SUV / Crossover,Farmington Hills,39.9,FALSE,66.1,240,0,42.4699,183.6,-83.4268,BMW,5,14839,X3,1,36880,82.2,2017
39.6,SUV / Crossover,Suitland,41,FALSE,66.1,187,0,38.8267,179.1,-76.9226,Mazda,5,3000,CX-5,NA,26900,83.3,2020
37.9,SUV / Crossover,Petaluma,43,NA,68,170,1,38.2661,184.5,-122.664,Nissan,5,4,Rogue,NA,33775,72.4,2020
40.1,Sedan,Butler,41.8,FALSE,58.5,300,0,40.8296,198.4,-79.9254,Dodge,5,32669,Charger,1,28885,75,2018
NA,SUV / Crossover,Des Moines,NA,FALSE,NA,285,0,41.6005,NA,-93.5644,GMC,NA,205587,Yukon XL,2,4495,NA,2004
38.4,SUV / Crossover,Pawleys Island,40.3,FALSE,70.7,240,0,33.4262,189.1,-79.1564,Mercedes-Benz,5,115759,M-Class,1,17000,83.7,2014
38.3,SUV / Crossover,Chesapeake,41.3,FALSE,64.7,185,0,36.7996,178.3,-76.2316,Honda,5,38390,CR-V,1,15400,71.6,2013
37.9,SUV / Crossover,Scottsdale,43,FALSE,67.5,170,0,33.4922,182.3,-111.891,Nissan,7,81559,Rogue,3,12136,72.4,2014
NA,Pickup Truck,Franklin,NA,NA,NA,NA,1,42.0809,NA,-71.3898,Ford,NA,0,F-150,NA,48045,NA,2020
45.2,Pickup Truck,Idaho Falls,40.9,FALSE,77.6,395,0,43.4678,232.9,-112.073,RAM,6,23979,1500,NA,42765,82.1,2020
37.9,SUV / Crossover,South Holland,43,FALSE,68.5,170,0,41.5991,184.5,-87.5826,Nissan,5,18256,Rogue,1,22967,72.4,2020
NA,Sedan,Houston,NA,NA,58.3,424,1,29.7839,207.2,-95.4692,Maserati,5,0,Quattroporte,NA,113885,82.7,2020
38.3,Hatchback,Costa Mesa,41.3,FALSE,60.5,109,0,33.6766,163.7,-117.918,Nissan,5,138546,Versa Note,1,5577,66.7,2014
39.7,SUV / Crossover,Valdosta,45.3,FALSE,74.4,355,0,30.8334,224,-83.2829,Chevrolet,8,92747,Suburban,1,30871,80.5,2016
NA,Sedan,Pelham,NA,NA,NA,NA,1,33.335,NA,-86.7917,Kia,NA,NA,Forte,NA,19510,NA,2021
38,Sedan,Ballwin,42.1,NA,57.1,202,1,38.593,192.7,-90.532,Toyota,5,5,Camry,NA,26012,72.4,2020
43.4,Pickup Truck,Wilmington,44.5,NA,75.5,355,1,39.4508,231.7,-83.7957,Chevrolet,6,5,Silverado 1500,NA,39402,81.2,2020
42,SUV / Crossover,Leavenworth,44.5,NA,75.9,355,1,39.3165,210.7,-94.9119,Chevrolet,8,0,Tahoe,NA,60224,81,2021
39,SUV / Crossover,Anderson,45.3,FALSE,74.4,355,0,34.5566,204,-82.6839,Chevrolet,8,88552,Tahoe,3,36995,80.5,2015
40.2,Pickup Truck,Scottsdale,40.9,NA,80.2,370,1,33.4922,238.8,-111.891,RAM,6,NA,2500,NA,55870,83.5,2020
38.8,SUV / Crossover,Grand Rapids,41.1,FALSE,63,147,0,43.0456,165.2,-85.6062,Kia,5,17477,Soul,1,17253,70.9,2020
36.8,SUV / Crossover,Mesa,41.3,TRUE,71.7,288,0,33.3963,201.9,-111.84,Buick,7,93897,Enclave,1,12995,86.7,2015
38.4,SUV / Crossover,Sterling,44.2,FALSE,70.1,295,0,39.0098,192.5,-77.4363,Toyota,8,16854,Highlander,2,35998,75.8,2018
42.1,Pickup Truck,Englewood,41.1,FALSE,74.3,360,0,26.9381,231.7,-82.3359,Ford,6,64119,F-150,2,20995,97,2012
36.1,Sedan,Dover,45,FALSE,57.8,179,0,39.1362,191.9,-75.5268,Nissan,5,35266,Altima,2,17902,72,2018
36.8,SUV / Crossover,Waverly,41.3,FALSE,71.7,288,0,42.7301,201.9,-92.5028,Buick,8,88622,Enclave,2,18500,86.7,2013
43.4,Pickup Truck,Layton,44.5,NA,75.5,420,1,41.0694,231.7,-111.975,Chevrolet,6,4,Silverado 1500,NA,47915,81.2,2020
38.6,SUV / Crossover,Doral,43.2,FALSE,64.1,250,1,25.7832,180.6,-80.3431,Lincoln,5,10,Corsair,NA,35790,83,2020
39.9,SUV / Crossover,Camby,40.9,NA,65.4,170,1,39.6296,183.1,-86.349,Chevrolet,5,2,Equinox,NA,28089,72.6,2020
39,SUV / Crossover,Fort Lauderdale,41.2,NA,66.1,310,1,26.1465,189.6,-80.3362,Cadillac,5,0,XT5,NA,53815,74.9,2020
38,Sedan,Beaufort,42.1,TRUE,56.9,203,0,32.4349,192.7,-80.711,Toyota,5,34060,Camry,1,22898,72.4,2019
38.3,Sedan,Yuba City,44.3,FALSE,58.2,240,0,39.1373,191.7,-121.634,Ford,5,72975,Fusion,2,17558,83.5,2016
36.8,SUV / Crossover,Hyattsville,41.3,FALSE,69.9,281,0,38.9526,203.7,-76.8826,Chevrolet,8,52325,Traverse,1,19925,78.5,2017
40.4,SUV / Crossover,Stuart,41.3,NA,66.1,190,1,27.1529,182.1,-80.219,Honda,5,6,CR-V,NA,27152,73,2020
NA,Van,Elma,40.8,FALSE,74,178,0,42.8536,187.5,-78.697,RAM,2,46579,ProMaster City,1,14659,84.6,2015
41.5,SUV / Crossover,Glen Allen,43.9,FALSE,76.4,375,1,37.6466,210,-77.581,Ford,8,25,Expedition,NA,68117,93.4,2020
38.4,SUV / Crossover,Simi Valley,41,NA,70.7,310,1,34.279,204.3,-118.779,Chevrolet,8,2,Traverse,NA,35250,78.6,2020
NA,Sedan,Liverpool,NA,FALSE,NA,NA,0,43.1165,NA,-76.1852,Honda,NA,31887,Civic,1,18995,NA,2017
37,Sedan,Pompano Beach,44.3,NA,58.2,245,1,26.2654,194.1,-80.0989,Lincoln,5,7,MKZ,NA,37745,83.3,2020
39.9,SUV / Crossover,Saratoga Springs,41.2,FALSE,66.3,301,0,43.0653,185.3,-73.7887,GMC,5,75583,Terrain,1,14422,72.8,2014
41.4,Sedan,Virginia Beach,42.3,FALSE,57.3,132,0,36.8409,183.1,-76.0676,Toyota,5,22186,Corolla,1,15900,69.9,2017
35.7,Sedan,Minneapolis,41.3,FALSE,56.2,248,0,44.8637,186.1,-93.2542,Audi,5,8840,A4,1,36797,79.6,2019
37.4,Sedan,Baton Rouge,42.3,NA,55.7,158,1,30.3916,182.7,-91.0593,Honda,5,1,Civic,NA,21727,70.8,2020
35.1,SUV / Crossover,Scottsdale,41.2,NA,66.5,177,1,33.616,166.6,-111.893,Jeep,5,10,Renegade,NA,27960,79.6,2020
43.6,Pickup Truck,Exton,43.9,NA,77.2,375,1,40.0244,231.9,-75.6489,Ford,6,11,F-150,NA,48890,96.8,2020
39,SUV / Crossover,Terrell,43,NA,69.9,300,1,32.7378,198.8,-96.2988,Ford,7,107,Explorer,NA,35184,89.3,2020
37.4,Sedan,Monroeville,42.3,NA,55.7,158,1,40.4389,182.7,-79.7636,Honda,5,0,Civic,NA,23305,70.8,2020
38.3,Sedan,Hurlock,44.3,FALSE,58.1,175,1,38.6975,191.7,-75.8928,Ford,5,8,Fusion,NA,24072,83.5,2020
39.7,SUV / Crossover,Houston,40.9,FALSE,65.4,252,0,29.8818,182.3,-95.4124,GMC,5,19399,Terrain,1,18419,72.4,2018
37.2,SUV / Crossover,Thousand Oaks,40.3,NA,65,247,1,34.1637,186.3,-118.833,Jaguar,5,11,F-PACE,NA,59405,85.6,2020
37.1,Sedan,Springfield,42.3,FALSE,56.9,175,0,42.1259,190.6,-72.5337,Ford,5,126368,Fusion,2,4700,80.1,2010
38.2,SUV / Crossover,Greensburg,41.5,NA,65,181,1,40.3023,176.4,-79.4959,Hyundai,5,NA,Tucson,NA,27675,72.8,2020
38.1,Sedan,Ontario,42,TRUE,57.6,160,0,34.0704,193.8,-117.603,Chevrolet,5,76623,Malibu,2,12499,73,2017
38.4,SUV / Crossover,Austin,40.9,FALSE,69.8,280,0,30.2131,194.5,-97.7216,Honda,8,33097,Pilot,1,27994,78.6,2018
38.6,SUV / Crossover,Mckinney,40.3,NA,69.3,360,1,33.193,189.8,-96.6396,Jeep,5,15,Grand Cherokee,NA,49026,84.8,2020
40.4,Sedan,Richardson,42.3,NA,57.1,192,1,32.9651,192.2,-96.7235,Honda,5,5,Accord,NA,29021,73.3,2020
NA,SUV / Crossover,Westmont,NA,NA,NA,NA,1,41.8103,NA,-87.9651,BMW,NA,10,X5,NA,70595,NA,2021
35.4,Sedan,Tamarac,43.5,FALSE,57.6,148,0,26.1966,180.3,-80.2928,Subaru,5,78311,Impreza,2,8995,78.2,2012
38.6,SUV / Crossover,St Louis,43.2,FALSE,64.1,280,1,38.5047,180.6,-90.3243,Lincoln,5,5,Corsair,NA,52721,83,2020
39.7,SUV / Crossover,Miami,40.9,NA,65.4,170,1,25.7658,182.3,-80.2052,GMC,5,3,Terrain,NA,20000,72.4,2020
39.5,Sedan,Jenkintown,42.8,NA,59.1,182,1,40.0876,190.6,-75.1276,Subaru,5,0,Legacy,NA,27888,82,2020
NA,Pickup Truck,Billings,NA,FALSE,NA,NA,0,45.7634,NA,-108.579,Ford,NA,38813,F-350 Super Duty,NA,42900,NA,2019
36.6,SUV / Crossover,Suitland,40.4,FALSE,69.4,255,0,38.8371,193.2,-76.924,BMW,7,47978,X5,1,38495,86,2017
39.7,SUV / Crossover,Rogers,40.9,FALSE,65.4,170,0,45.2084,183.1,-93.551,Chevrolet,5,17657,Equinox,1,19900,72.6,2018
34.1,Sedan,Madison,41.4,NA,59,603,1,43.04,208.5,-89.3784,Mercedes-Benz,5,20,S-Class,NA,180525,83.9,2020
34.6,Sedan,Wood-Ridge,42.2,TRUE,56.5,140,0,40.8622,177.3,-74.0962,Honda,5,148457,Civic,2,4999,69,2010
37.4,Sedan,Mars,42.5,FALSE,58.9,130,0,40.6707,182.5,-80.0978,Nissan,5,117059,Sentra,1,7479,69.3,2013
39.6,SUV / Crossover,Centennial,41,NA,66.1,187,1,39.5951,179.1,-104.869,Mazda,5,3,CX-5,NA,27873,83.3,2020
43.4,Pickup Truck,Butler,44.5,NA,80.9,445,1,40.8191,250.1,-79.9275,GMC,5,0,Sierra 3500HD,NA,76685,81.9,2020
39.3,Hatchback,Colorado Springs,41.4,NA,60,128,1,38.8169,161.4,-104.755,Honda,5,5,Fit,NA,18359,67,2020
37.4,Sedan,Houston,42.5,FALSE,58.9,124,0,29.6776,182.1,-95.4124,Nissan,5,37471,Sentra,1,14600,69.3,2019
38.3,SUV / Crossover,Phoenix,41.2,FALSE,73.6,285,0,33.6402,188.4,-112.071,Jeep,5,17182,Wrangler Unlimited,1,36397,73.8,2019
39.3,SUV / Crossover,Mcdonough,41.2,NA,63.2,141,1,33.4312,170.9,-84.1888,Honda,5,15,HR-V,NA,23340,70.5,2020
43.4,Pickup Truck,Cleburne,44.5,NA,75.5,355,1,32.3476,231.7,-97.3867,Chevrolet,6,10,Silverado 1500,NA,47654,81.2,2020
29.9,Coupe,Elizabethtown,43.9,FALSE,53.1,275,0,37.7159,188.3,-85.8786,Chevrolet,4,20431,Camaro,2,23900,74.7,2019
38.6,SUV / Crossover,Lansing,40.3,NA,69.3,295,1,42.6684,189.8,-84.5382,Jeep,5,NA,Grand Cherokee,NA,36115,84.8,2020
30.8,Hatchback,El Paso,41.4,NA,55.7,189,1,31.7881,151.9,-106.407,MINI,4,10,Cooper,NA,29130,76.1,2020
39.7,SUV / Crossover,Urbandale,45.3,FALSE,74.4,355,0,41.6273,224.4,-93.7738,Chevrolet,8,41720,Suburban,1,44500,80.5,2019
NA,Pickup Truck,Wilkesboro,NA,NA,NA,NA,1,36.1503,NA,-81.1898,RAM,NA,NA,1500,NA,35006,NA,2020
27.1,SUV / Crossover,Kansas City,40.2,FALSE,60,208,0,38.9068,173.9,-94.6047,Mercedes-Benz,5,42236,GLA-Class,2,28988,79.6,2017
39.3,SUV / Crossover,Old Bridge,41.2,NA,63.2,141,1,40.4538,170.4,-74.297,Honda,5,5,HR-V,NA,23040,69.8,2020
35.2,Sedan,Tustin,43.8,NA,56.7,188,1,33.7271,192.9,-117.801,Nissan,5,NA,Altima,NA,25440,72.9,2020
40.4,Sedan,Savannah,42.3,NA,57.1,212,1,32.0757,192.2,-81.1586,Honda,5,7,Accord Hybrid,NA,32625,73.3,2020
40.7,SUV / Crossover,Gaithersburg,42.4,NA,66.1,180,1,39.1576,180.5,-77.2176,Ford,5,NA,Escape,NA,25990,85.6,2020
37.6,SUV / Crossover,Burnsville,41.5,NA,70,276,1,44.7386,198.3,-93.2848,Volkswagen,7,NA,Atlas,NA,40020,78.3,2021
39.4,SUV / Crossover,Torrington,43.3,NA,68.1,182,1,41.8203,182.1,-73.1212,Subaru,5,1,Forester,NA,29988,80.9,2020
33.5,Sedan,Greensboro,42.1,NA,57.1,120,1,36.0867,172.6,-79.7782,Hyundai,5,11,Accent,NA,17505,68.1,2020
29.9,Coupe,Orlando,41.9,FALSE,50.6,200,0,28.5633,166.7,-81.3021,Scion,4,75924,FR-S,2,14995,69.9,2013
39.9,SUV / Crossover,Cincinnati,40.9,NA,65.4,170,1,39.298,183.1,-84.3073,Chevrolet,5,2,Equinox,NA,26805,72.6,2020
43.6,Pickup Truck,Jackson,43.9,NA,77.2,375,1,42.279,231.9,-84.3719,Ford,6,0,F-150,NA,46738,96.8,2020
38.3,SUV / Crossover,Southfield,41.8,NA,64.8,180,1,42.5005,173,-83.2875,Jeep,5,3,Compass,NA,25774,80,2020
NA,Van,Dallas,40,FALSE,82.4,255,0,32.8079,216.7,-96.8733,Ford,2,95473,E-Series,1,14995,95.7,2012
38.6,SUV / Crossover,Stafford,40.3,FALSE,69.3,241,0,29.6456,189.8,-95.572,Jeep,5,44875,Grand Cherokee,1,30190,84.8,2017
38.3,Sedan,Thousand Oaks,44.3,FALSE,58.2,245,0,34.1741,191.8,-118.843,Ford,5,74591,Fusion,1,14995,83.5,2017
41,Coupe,North Lima,42,FALSE,55,130,0,40.9479,196,-80.6584,Cadillac,6,64556,DeVille,2,6500,72,1987
29,Coupe,Kansas City,45.1,FALSE,54.3,330,1,38.882,188.5,-94.6033,Ford,4,1,Mustang,NA,33750,81.9,2020
36.1,SUV / Crossover,Columbia,40.8,NA,66.6,172,1,35.5894,192.4,-87.0416,Dodge,7,NA,Journey,NA,21213,83.7,2020
33.7,Van,Easton,41.3,NA,82.2,275,1,40.6972,219.9,-75.2868,Ford,10,63,Transit Passenger,NA,40840,97.4,2020
32.6,Pickup Truck,Selma,42.9,FALSE,70.6,278,0,35.5251,225.5,-78.3006,Toyota,5,60863,Tacoma,1,33990,75.2,2017
37.9,SUV / Crossover,Hilliard,43,NA,68.5,170,1,40.0318,184.5,-83.1252,Nissan,5,3,Rogue,NA,26738,72.4,2020
39.7,SUV / Crossover,Memphis,41,TRUE,66,193,0,35.2045,193.6,-89.7887,GMC,7,37360,Acadia,1,22988,75.4,2018
NA,Coupe,San Bruno,NA,TRUE,NA,NA,0,37.6222,NA,-122.412,Porsche,NA,57120,911,3,59990,NA,1998
44.3,Sedan,Wall Township,41.5,FALSE,58.5,335,0,40.2203,208.7,-74.1302,Audi,5,8866,A8,1,59995,83.9,2019
36.1,SUV / Crossover,Ames,43.4,FALSE,66.5,240,0,42.0083,187.6,-93.589,Nissan,5,177874,Murano,3,5500,74,2007
38,Sedan,Lansing,42.1,TRUE,56.9,203,0,42.6751,192.1,-84.5382,Toyota,5,26730,Camry,1,19768,72.4,2018
33.2,SUV / Crossover,Tampa,43.7,NA,62.4,122,1,27.948,169.1,-82.341,Nissan,5,9,Kicks,NA,20595,69.3,2020
NA,NA,Hyannis Port,NA,FALSE,NA,NA,0,41.6489,NA,-70.2854,Toyota,NA,96612,Avalon Hybrid,2,13895,NA,2013
36.1,Sedan,Van Nuys,41.4,FALSE,57.6,300,0,34.1767,193.1,-118.449,BMW,5,90020,5 Series,1,15995,82.8,2012
39,SUV / Crossover,Ripley,41.3,FALSE,76.9,320,0,34.7595,202,-88.9398,Chevrolet,8,130573,Tahoe,2,16872,79,2012
38.3,Sedan,San Marcos,41.7,TRUE,57.9,158,0,29.8971,189.2,-97.9078,Toyota,5,151030,Camry,6,6419,71.7,2009
42,SUV / Crossover,North Little Rock,44.5,NA,75.9,355,1,34.8108,210.7,-92.2055,Chevrolet,8,NA,Tahoe,NA,64170,81,2021
35.2,Sedan,Montclair,42,FALSE,56.8,255,0,34.0633,185.7,-117.692,BMW,5,7812,3 Series,1,33896,81.4,2019
36.7,SUV / Crossover,Foxboro,42.9,NA,65.1,166,1,42.0995,161.3,-71.2626,Ford,5,28,EcoSport,NA,22995,81,2019
NA,Hatchback,Boulder,NA,NA,NA,NA,1,40.0249,NA,-105.258,Nissan,NA,2,LEAF,NA,34690,NA,2020
38,SUV / Crossover,Pleasanton,41,NA,63.5,221,1,37.6999,173.6,-121.902,Mercedes-Benz,5,6,GLA-Class,NA,44025,79.5,2021
36.6,SUV / Crossover,Alton,41.4,FALSE,67.4,290,0,38.9196,196.2,-90.1694,Acura,6,25875,MDX,1,33900,77.7,2017
36.5,SUV / Crossover,Trenton,43.1,NA,63.6,152,1,44.509,176.5,-68.3894,Subaru,5,1,Crosstrek,NA,26835,71,2021
36.2,Sedan,Kearney,42.4,FALSE,58.4,173,0,40.6893,191.7,-99.0846,Chrysler,5,128080,200,4,6990,72.5,2012
35.6,Sedan,Leesburg,45.5,TRUE,58.1,185,0,28.8662,191.1,-81.8006,Hyundai,5,68439,Sonata,3,10995,73.4,2015
34.8,Sedan,West Palm Beach,42,NA,56.5,139,1,26.6821,182.3,-80.1954,Toyota,5,NA,Corolla,NA,20970,70.1,2021
NA,Sedan,Ballwin,NA,NA,NA,NA,1,38.6045,NA,-90.5589,Genesis,NA,15,G80,NA,59515,NA,2020
38.5,Pickup Truck,Midland,41.8,NA,75.4,400,1,32.0242,228.2,-102.152,Nissan,6,10,Titan,NA,50891,79.5,2020
39,Minivan,York,41.1,FALSE,69.9,287,0,39.9824,203.6,-76.7194,Chrysler,8,57706,Pacifica,1,24787,90.4,2017
38.7,SUV / Crossover,Mesquite,40.5,NA,67.8,260,1,32.8307,192.8,-96.6292,Nissan,5,1,Murano,NA,31299,75.4,2020
NA,Pickup Truck,Temple,NA,NA,NA,NA,1,31.0927,NA,-97.3793,RAM,NA,17,1500,NA,46345,NA,2020
35.8,SUV / Crossover,Clinton,40.8,NA,65.3,138,1,34.9917,168.4,-78.3571,Buick,5,10,Encore,NA,21840,70.1,2020
37.2,Sedan,Burleson,42.5,FALSE,58.1,177,0,32.5281,194.1,-97.3091,Honda,5,102886,Accord,1,7995,72.7,2009
39.4,SUV / Crossover,Lawrence,44.1,FALSE,66.5,290,0,38.942,187.4,-95.2177,Kia,7,54145,Sorento,1,18992,74.4,2018
40.4,SUV / Crossover,Staten Island,41.3,NA,66.5,190,1,40.5976,182.1,-74.0836,Honda,5,4,CR-V,NA,30823,73,2020
35.8,Sedan,Libertyville,42.2,TRUE,57.3,155,0,42.2682,180.3,-87.9501,Mazda,5,38714,MAZDA3,1,15750,70.7,2016
NA,Sedan,Pittsburgh,NA,NA,NA,NA,1,40.3968,NA,-80.0307,Volkswagen,NA,NA,Jetta,NA,19849,NA,2020
39,SUV / Crossover,Santa Fe,43,NA,70.2,365,1,35.6293,198.8,-106.023,Ford,7,3,Explorer,NA,62255,89.3,2020
34.6,Sedan,Sacramento,42.2,FALSE,56.5,140,0,38.6076,177.3,-121.401,Honda,5,141697,Civic,1,6485,69,2009
34.6,Sedan,Hasbrouck Heights,41.5,TRUE,55.9,230,0,40.8515,178.8,-74.0727,BMW,5,144540,3 Series,3,7000,79.3,2009
38.9,SUV / Crossover,Moline,41.2,NA,69.9,310,1,41.4762,204.3,-90.5071,Buick,7,10,Enclave,NA,40598,89.3,2020
38.3,SUV / Crossover,Fort Mill,41.2,NA,73.6,260,1,35.061,188.4,-80.9591,Jeep,5,10,Wrangler Unlimited,NA,41246,73.8,2020
39,Minivan,Columbus,41.1,FALSE,69.9,287,0,32.5334,203.8,-84.9553,Chrysler,8,38988,Pacifica,1,23212,90.4,2019
NA,SUV / Crossover,North Huntingdon,NA,NA,NA,NA,1,40.3428,NA,-79.7603,Mitsubishi,NA,5,Outlander Sport,NA,23052,NA,2020
38.6,SUV / Crossover,Abilene,40.3,NA,69.3,NA,1,32.4514,189.8,-99.7884,Jeep,5,140,Grand Cherokee,NA,36076,84.8,2020
35.3,Sedan,Roanoke,42.2,FALSE,58.1,138,0,37.2724,181,-79.9502,Chevrolet,5,71152,Cruze,1,6490,70.7,2014
40.2,Pickup Truck,Lexington,40.9,NA,79.6,360,1,35.6417,264.2,-88.3786,RAM,6,0,3500 Chassis,NA,53919,97,2020
39.9,SUV / Crossover,Williamson,40.9,NA,65.4,170,1,43.2194,183.1,-77.1906,Chevrolet,5,3,Equinox,NA,24454,72.6,2020
39,Minivan,Dexter,41.1,NA,69.9,287,1,36.8037,204.3,-89.9856,Chrysler,8,16,Pacifica,NA,40753,90.4,2020
NA,SUV / Crossover,Clinton Township,NA,NA,NA,NA,1,42.558,NA,-82.8976,Chevrolet,NA,NA,Blazer,NA,36007,NA,2021
37.5,SUV / Crossover,Tyler,40.9,NA,66.8,197,1,32.3157,183.7,-95.3418,Buick,5,0,Envision,NA,29329,72.4,2020
42.3,Pickup Truck,Wall Township,42.5,FALSE,76.2,381,0,40.2203,228.9,-74.1302,Toyota,6,17432,Tundra,2,39995,79.9,2018
38.4,SUV / Crossover,Princeton,41,NA,70.7,310,1,37.3662,204.3,-81.1026,Chevrolet,7,0,Traverse,NA,49175,78.6,2020
39.3,SUV / Crossover,South Hackensack,41,FALSE,65.7,184,0,40.8551,178.7,-74.0469,Mazda,5,140783,CX-5,2,8995,72.4,2014
39,SUV / Crossover,Duluth,43,NA,69.9,300,1,46.8066,198.8,-92.1601,Ford,7,2930,Explorer,NA,43113,89.3,2020
37.1,Minivan,Stoughton,40.7,NA,69,283,1,42.9186,203.7,-89.2042,Dodge,7,12,Grand Caravan,NA,26156,88.5,2020
40.7,SUV / Crossover,Lenoir,42.4,NA,66.1,180,1,35.9176,180.5,-81.5142,Ford,5,6,Escape,NA,24900,85.6,2020
33,Hatchback,Union,41.7,TRUE,58.4,98,0,38.4542,143.1,-91.002,Chevrolet,4,26998,Spark,1,10980,62.8,2016
35.7,SUV / Crossover,Grand Rapids,40.8,NA,66.3,138,1,43.0315,167.6,-85.6276,Chevrolet,5,2,Trax,NA,17011,69.9,2020
43.6,Pickup Truck,Blair,43.9,NA,77.2,375,1,41.5198,231.9,-96.1455,Ford,6,101,F-150,NA,47770,96.8,2020
35.8,SUV / Crossover,Viroqua,40.8,NA,65.3,138,1,43.5747,168.4,-90.8885,Buick,5,0,Encore,NA,29890,70.1,2020
NA,Hatchback,Santa Ana,NA,FALSE,NA,NA,0,33.7686,NA,-117.852,FIAT,NA,25224,500e,1,6399,NA,2016
NA,Sedan,San Angelo,NA,NA,NA,NA,1,31.4482,NA,-100.49,Kia,NA,12,Rio,NA,17455,NA,2020
36.8,Sedan,Henderson,42.1,FALSE,57.6,196,0,36.0565,191.5,-115.029,Chevrolet,5,55445,Malibu,3,15998,79.8,2015
42,SUV / Crossover,Auburn,44.5,NA,75.9,355,1,41.3668,210.7,-85.068,Chevrolet,8,20,Tahoe,NA,67000,81,2021
38.2,SUV / Crossover,Stafford,41.5,FALSE,64.8,164,0,29.6463,176.4,-95.573,Hyundai,5,35311,Tucson,1,18400,72.8,2019
41.5,SUV / Crossover,Commerce,43.9,FALSE,76.4,375,0,33.2461,221.9,-95.9118,Ford,8,38618,Expedition,1,37724,93.4,2019
37.2,SUV / Crossover,Inver Grove Heights,41,TRUE,70.8,285,0,44.88,173.4,-93.0786,Jeep,5,115489,Wrangler Unlimited,1,25477,82.8,2013
39.7,SUV / Crossover,Waterford,40.9,TRUE,65.4,170,0,42.6464,183.1,-83.3334,Chevrolet,5,66829,Equinox,1,16995,72.6,2018
NA,Pickup Truck,Houston,NA,NA,NA,NA,1,29.7838,NA,-95.5521,Ford,NA,1782,F-150,NA,40722,NA,2020
40.9,SUV / Crossover,Salt Lake City,44.1,NA,67.1,235,1,40.6708,187.8,-111.888,Hyundai,5,10,Santa Fe,NA,37599,74.4,2020
37.5,SUV / Crossover,Roseville,40.9,NA,66.8,197,1,38.7507,183.7,-121.254,Buick,5,3,Envision,NA,27301,72.4,2020
45.2,Pickup Truck,Vienna,40.9,NA,77.6,395,1,38.917,232.9,-77.2359,RAM,6,0,1500,NA,45680,82.1,2020
38.3,Sedan,Morristown,44.3,NA,58.1,175,1,36.2066,191.7,-83.3033,Ford,5,0,Fusion,NA,21255,83.5,2020
38,Sedan,Rio Linda,42.1,FALSE,56.9,206,0,38.68,192.7,-121.481,Toyota,5,25226,Camry,1,24990,72.4,2018
39.7,SUV / Crossover,Alma,40.9,FALSE,65.4,170,0,43.3991,183.1,-84.6667,Chevrolet,5,23739,Equinox,1,19700,72.6,2018
29,Coupe,Niles,45.1,NA,54.3,330,1,42.0511,188.5,-87.8348,Ford,4,5,Mustang,NA,26613,81.9,2020
NA,SUV / Crossover,Yorkville,NA,FALSE,NA,NA,0,43.105,NA,-75.2971,Toyota,NA,9491,4Runner,1,40995,NA,2019
39.9,SUV / Crossover,Van Wert,41.2,FALSE,66.3,182,0,40.8589,185.3,-84.591,GMC,5,103278,Terrain,1,12300,72.8,2015
36.7,SUV / Crossover,Scottsdale,42.9,NA,64.8,123,1,33.6317,161.3,-111.896,Ford,5,2810,EcoSport,NA,20045,81,2020
39.5,SUV / Crossover,Columbia,42.8,NA,66.1,182,1,34.137,191.3,-80.953,Subaru,5,133,Outback,NA,30113,82,2020
