back_legroom,body_type,city,front_legroom,has_accidents,height,horsepower,is_new,latitude,length,longitude,make_name,maximum_seating,mileage,model_name,owner_count,price,width,year
43.6,Pickup Truck,Mitchell,43.9,NA,77.3,375,1,43.7313,243.7,-98.0257,Ford,5,0,F-150,NA,61827,96.8,2020
40.6,SUV / Crossover,Branford,42.6,TRUE,68.6,245,0,41.2896,188.1,-72.7997,Ford,5,26774,Edge,1,21099,85.8,2016
43.6,Pickup Truck,Saint Clair Shores,43.9,NA,77.2,375,1,42.4664,231.9,-82.8995,Ford,6,2,F-150,NA,54680,96.8,2020
37.3,SUV / Crossover,Tempe,40.8,FALSE,62.1,469,0,33.4274,186.8,-111.903,Mercedes-Benz,5,20951,GLC-Class,1,67599,82.5,2018
NA,Van,Agawam,41.5,NA,72,169,1,42.0889,174.2,-72.6383,Ford,2,6,Transit Connect,NA,25556,84.1,2020
43.6,Pickup Truck,Owensboro,43.9,NA,77.2,395,1,37.7194,231.9,-87.1247,Ford,6,5,F-150,NA,50105,96.8,2020
38.3,Sedan,Tampa,44.3,FALSE,58.1,175,1,28.039,191.7,-82.5743,Ford,5,14,Fusion,NA,16887,83.5,2020
38.7,SUV / Crossover,Prattville,40.5,FALSE,67.8,260,0,32.4598,192.8,-86.4111,Nissan,5,20064,Murano,1,31491,75.4,2019
38.8,SUV / Crossover,Hattiesburg,41.1,FALSE,63,147,0,31.3186,165.2,-89.407,Kia,5,29466,Soul,1,15998,70.9,2020
37.4,Sedan,Mesa,42.5,FALSE,58.9,130,0,33.4326,182.5,-111.849,Nissan,5,60611,Sentra,2,14300,69.3,2017
40.6,SUV / Crossover,Parker,42.6,FALSE,68.3,250,0,34.15,188.8,-114.289,Ford,5,30505,Edge,1,25288,85.8,2019
NA,Van,New Brunswick,NA,FALSE,NA,NA,0,40.4861,NA,-74.4532,Ford,NA,154298,Transit Connect,2,7995,NA,2010
34.7,Pickup Truck,Tucson,41,FALSE,75.1,310,0,32.2526,229,-110.961,RAM,6,130340,1500,2,15995,79.4,2012
39.1,SUV / Crossover,Ocala,41.2,NA,69.9,310,1,29.1456,198.5,-82.1897,Cadillac,7,5,XT6,NA,61865,77.3,2020
